"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDmove v4 on Infineon in EAC configuration with AA in option","Idemia","FR","EAL5+,AVA_VAN.4,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","12/20/2019","12/20/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_56fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_56en.pdf","09/23/2021","ANSSI-CC-2019/56-M02","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_56-m02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDmove v4 on Infineon in EAC configuration with AA in option","Idemia","FR","EAL5+,AVA_VAN.4,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","12/20/2019","12/20/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_56fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_56en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDmove v4 on Infineon in EAC with PACE configuration with AA in option","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/20/2019","12/20/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_57fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_57en.pdf","09/23/2021","ANSSI-CC-2019/57-M02","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_57-m02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDmove v4 on Infineon in EAC with PACE configuration with AA in option","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","12/20/2019","12/20/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_57fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_57en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDmove v4 on Infineon in PACE configuration with AA and&#x2f;or CA in option","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","12/20/2019","12/20/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_58fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_58en.pdf","09/23/2021","ANSSI-CC-2019/58-M02","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_58-m02.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDmove v4 on Infineon in PACE configuration with AA and&#x2f;or CA in option","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","12/20/2019","12/20/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_58fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_58en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Security Controller M7892 Design Steps D11 and G12, with specific IC dedicated firmware and optional software","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","12/19/2019","12/19/2024","http://216.117.4.138:80/files/epfiles/0891V4a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0891V4b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon Security Controller M5073 G11 with optional RSA2048&#x2f;4096 v2.03.008 or v2.07.003, EC v2.03.008 or v2.07.003, SHA-2 v1.01 and Toolbox v2.03.008 or v2.07.003 libraries, symmetric crypto library v2.02.010, as well as with specific IC dedicated firmware, including the Flash Loader enhanced by the Mutual Authentication Extension &#x28;MAE&#x29;","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","12/18/2019","12/18/2024","http://216.117.4.138:80/files/epfiles/0951V4a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0951V4b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon smart card IC &#x28;Security Controller&#x29; IFX_CCI_000007h, 000009h, 00000Ah, 00000Bh, 000016h, 000017h, 000018h, 000023h, 000024h, design step G13 with optional libraries CCL V02.00.0004, RSA2048&#x2f;4096 V2.08.007 &#x2f; V2.07.003 &#x2f; V2.06.003, EC V2.08.007 &#x2f; V2.07.003 &#x2f; V2.06.003, Toolbox V2.08.007 &#x2f; V2.07.003 &#x2f; V2.06.003, HSL V03.12.8812 &#x2f; V03.11.8339 &#x2f; V02.01.6634 &#x2f; V01.22.4346, SCL V2.04.002 &#x2f; V2.02.010 and with specific IC dedicated software","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","12/18/2019","12/18/2024","http://216.117.4.138:80/files/epfiles/0961V4a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0961V4b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3D350A &#x2f; S3D300A &#x2f; S3D264A &#x2f; S3D232A &#x2f;&#xd;&#xa;S3D200A &#x2f; S3K350A &#x2f; S3K300A 32-bit RISC Microcontroller for Smart Card with optional AT1 Secure Libraries including specific IC Dedicated software","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","12/18/2019","12/18/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_59.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_59en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3K170A &#x2f; S3K140A 32-bit RISC Microcontroller for Smart Card with optional AT1 Secure Libraries including specific IC","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","12/18/2019","12/18/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_60.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_60en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3K250A &#x2f; S3K232A &#x2f; S3K212A 32-bit RISC Microcontroller for Smart Card with optional AT1 Secure Libraries including specific IC Dedicated software, Version S3K250A_20191028","Samsung Electronics Co., Ltd.","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","12/18/2019","12/18/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_61fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_61en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Infineon smart card IC &#x28;Security Controller&#x29; IFX_CCI_000011h, 00001Bh, 00001Eh, 000025h, design step G12 with optional libraries and with specific IC dedicated software","Infineon Technologies AG","DE","EAL6+,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","12/17/2019","12/17/2024","http://216.117.4.138:80/files/epfiles/1025V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1025V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3CS9AB 32-Bit RISC Microcontroller for Smart Cards, Revision 0 with specific IC Dedicated Software","Samsung Electronics Co., Ltd.","DE","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","12/11/2019","12/11/2024","http://216.117.4.138:80/files/epfiles/0882V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0882V2b_pdf.pdf","06/14/2021","S3CS9AB 32-Bit RISC Microcontroller for Smart Cards, Revision 0 with specific IC Dedicated Software","http://216.117.4.138:80/files/epfiles/0882V2ma1a_pdf.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3CS9AB 32-Bit RISC Microcontroller for Smart Cards, Revision 0 with specific IC Dedicated Software","Samsung Electronics Co., Ltd.","DE","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_V1.0","12/11/2019","12/11/2024","http://216.117.4.138:80/files/epfiles/0882V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0882V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6021y VB&#x2a; including IC Dedicated Software","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","DE","EAL6+,ASE_TSS.2,ALC_FLR.1","SECURITY_IC_AUGP_V1.0","12/03/2019","12/03/2024","http://216.117.4.138:80/files/epfiles/1072V3a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1072V3b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 5.1 on SN100.C48 Secure Element","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","JAVA_OC","11/29/2019","04/30/2024","http://216.117.4.138:80/files/epfiles/Certification Report NSCIB-CC-221699-CR2.pdf","http://216.117.4.138:80/files/epfiles/[ST-LITE] SecurityTarget-Lite_JCOP5.1_v2.2.pdf","02/06/2020","- added manufacturing site&#xd;&#xa;- changed TOE-name from &#x27;NXP JCOP5.1 eSE on SN100.C48 Secure Element&#x27; to &#x27;NXP JCOP 5.1 on SN100.C48 Secure Element&#x27;&#xd;&#xa;&#xd;&#xa;Please note&#x3a;&#xd;&#xa;- maintenance report mentions the new TOE-name &#x27;NXP JCOP 5.1 on SN100.C48 Secure Element&#x27;&#xd;&#xa;- signed certificate mentions the former TOE-name &#x27;NXP JCOP5.1 eSE on SN100.C48 Secure Element&#x27;&#xd;&#xa;- other relevant documents &#x28;ST, ST-Lite, ETR, ETRfC&#x29; can mention or refer to either of the two TOE-names","http://216.117.4.138:80/files/epfiles/NSCIB-CC-221699-MA.pdf","http://216.117.4.138:80/files/epfiles/[221699]SecurityTarget-Lite_JCOP5.1_P73V_20191210_v2.3.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 5.1 on SN100.C48 Secure Element","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","JAVA_OC","11/29/2019","04/30/2024","http://216.117.4.138:80/files/epfiles/Certification Report NSCIB-CC-221699-CR2.pdf","http://216.117.4.138:80/files/epfiles/[ST-LITE] SecurityTarget-Lite_JCOP5.1_v2.2.pdf","08/18/2021","The changes to the certified product are related to the addition of a new production site for the SN100, 
which is the certified platform that is part of this composite TOE. The identification of the maintained 
product is retained as NXP JCOP 5.1 on SN100.C48 Secure Element","http://216.117.4.138:80/files/epfiles/NSCIB-CC-221699-2MA2.pdf","http://216.117.4.138:80/files/epfiles/NSCIB-CC-221699-2m2-STLite.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP JCOP 5.1 on SN100.C48 Secure Element","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","NL","EAL5+,ALC_DVS.2,ALC_FLR.1,ASE_TSS.2,AVA_VAN.5","JAVA_OC","11/29/2019","04/30/2024","http://216.117.4.138:80/files/epfiles/Certification Report NSCIB-CC-221699-CR2.pdf","http://216.117.4.138:80/files/epfiles/[ST-LITE] SecurityTarget-Lite_JCOP5.1_v2.2.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P6022y VB&#x2a; including IC Dedicated Software","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","DE","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","11/29/2019","11/29/2024","http://216.117.4.138:80/files/epfiles/1059V3a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1059V3b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ST31H320 D01 including optional cryptographic library NesLib","STMicroelectronics","FR","EAL5+,ADV_IMP.2,ADV_TDS.5,ALC_CMC.5,ALC_DVS.2,ALC_FLR.1,ALC_TAT.3,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","11/29/2019","11/29/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_40fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_40en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Application CPS2ter v1.12, adoss&eacute;e &agrave; l&rsquo;application IAS ECC v1.3, en composition sur la plateforme ID-One Cosmo v8.2 &#x28;Identification 01 12&#x29;","Idemia","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","","11/22/2019","11/22/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_43fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_43en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","STARCOS 3.7 COS GKV C2","G&#x2b;D Mobile Security GmbH","DE","EAL4+,ALC_DVS.1,ATE_DPT.2,AVA_VAN.5","BSI-CC-PP-0082-V4-2019","11/21/2019","11/21/2024","http://216.117.4.138:80/files/epfiles/0976V3a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0976V3b_pdf.pdf","06/15/2021","STARCOS 3.7 COS GKV C2","http://216.117.4.138:80/files/epfiles/0976v3ma1a_pdf.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","STARCOS 3.7 COS GKV C2","G&#x2b;D Mobile Security GmbH","DE","EAL4+,ALC_DVS.1,ATE_DPT.2,AVA_VAN.5","BSI-CC-PP-0082-V4-2019","11/21/2019","11/21/2024","http://216.117.4.138:80/files/epfiles/0976V3a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0976V3b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","LDS Applet BAC with CA and AA on ID-One V8.2 Platform on NXP P60D145 &#x28;Version 03 00 00 00&#x29;","Idemia","FR","EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3","MRTD_ICAO_BA_V1.10","11/13/2019","11/13/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_47fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_47en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","LDS Applet EAC with AA on ID-One V8.2 Platform on o NXP P60D145 &#x28;versi on 03 00 00 00&#x29;","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","11/13/2019","11/13/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_48fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_48en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","LDS Applet EAC with PACE on ID-One V8.2 Platform on NXP P60D145 &#x28;version 03 00 00 00&#x29;","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3","11/13/2019","11/13/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_49fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_49en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","LDS Applet PACE with CAM, CA and AA on ID-One V8.2 Platform on NXP P60D145 &#x28;version 03 00 00 00&#x29;","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0","11/13/2019","11/13/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_50fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_50en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3M2 2M5C&#x2f;S3M2M0C&#x2f;S3M1M5C 32-bit RISC Microcontroller for Smart Card including specific IC Dedicated software &#x28;Revision 0 et r&eacute;f&eacute;rence S3M2M5C_2019 90518&#x29;","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","11/07/2019","11/07/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019-39fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-2019_39en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Crypto Library Cobalt on N7021 VA","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","DE","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","10/29/2019","10/29/2024","http://216.117.4.138:80/files/epfiles/1019V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1019V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID-One Cosmo v8.2 embedding VITALE application &#x28;Version 2.0.83&#x29;","Idemia","FR","EAL4+,ALC_DVS.2,AVA_VAN.5","JCSPPC,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4,P_SSCD_PART4_V1.0.1","10/25/2019","10/25/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_41fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_41en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IFX_CCI_000Dh, IFX_CCI_0020h, IFX_CCI_0031h, IFX_CCI_0032h, IFX_CCI_0034h, IFX_CCI_0037h design step T31 and M31 with optional HSL v2.62.7626, optional SCL version v2.04.003, UMSLC lib v01.00.0234 with specific IC-dedicated firmware identifier 80.301.05.1 and user guidance","Infineon Technologies AG","DE","EAL5+,ALC_DVS.2,AVA_VAN.5","SECURITY_IC_AUGP_V1.0","10/15/2019","10/15/2024","http://216.117.4.138:80/files/epfiles/1126a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1126b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS ID 2.0 Release 1-BAC&#x2f;P60D145","T-Systems International GMBH","DE","EAL4+,ALC_DVS.1","MRTD_ICAO_BA_V1.10","10/07/2019","10/07/2024","http://216.117.4.138:80/files/epfiles/1103a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1103b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IAS ECC V2,  Version 1.3 en configuration #3 sur la plateforme ID-One Cosmo v8.2","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2","09/17/2019","09/17/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_35fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_35en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IAS ECC V2, version 1.3 en configuration #1 sur la plateforme ID-One Cosmo v8.2","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4","09/17/2019","09/17/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_33fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_33en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IAS ECC V2, version 1.3 en configuration #2 sur la plateforme ID-One Cosmo v8.2","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2","09/17/2019","09/17/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_34fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_34en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IAS ECC V2, Version 1.3 en configuration #4 sur la plateforme ID-One Cosmo v8.2","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2","09/17/2019","09/17/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_36fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_36en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS ID Version 2.0 Release1&#x2f;P6022y","T-Systems International GMBH","DE","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","MR.ED-ON-PP,MR.ED-PP_V2.2","08/30/2019","08/30/2024","http://216.117.4.138:80/files/epfiles/1078a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1078b_pdf.pdf","06/15/2021","TCOS ID Version 2.0 Release1/P6022y","http://216.117.4.138:80/files/epfiles/1078ra1a_pdf.pdf",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","TCOS ID Version 2.0 Release1&#x2f;P6022y","T-Systems International GMBH","DE","EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","MR.ED-ON-PP,MR.ED-PP_V2.2","08/30/2019","08/30/2024","http://216.117.4.138:80/files/epfiles/1078a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1078b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID&amp;Trust IDentity-J with SAC &#x28;BAC&#x2b;PACE&#x29; and AA version 1.0 on IFX M7892 G12 SLJ 52G 1.0.7052","Maxell, Ltd","JP","EAL4+,ALC_DVS.2","EPASS_IC_SAC_BAC_PACE_V1.0","08/28/2019","08/28/2024","http://216.117.4.138:80/files/epfiles/c0649_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0649_st.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","ID&amp;Trust IDentity-J with SAC &#x28;PACE&#x29; and AA version 1.0 on IFX M7892 G12 SLJ 52G v1.0.7052","Maxell, Ltd","JP","EAL4+,ALC_DVS.2,AVA_VAN.5","EPASS_IC_SAC_PACE_V1.0","08/28/2019","08/28/2024","http://216.117.4.138:80/files/epfiles/c0648_erpt.pdf","http://216.117.4.138:80/files/epfiles/c0648_st.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDeal Citiz v2.3-n embedding ID.me 1.6-n application (ID.me 1.6-n / 2.1.6.0.0)","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4","08/21/2019","08/21/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_32fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_32en.pdf","06/24/2020","IDeal Citiz v2.3-n embedding ID.me 1.6-n application, version ID.me 1.6-n / 2.1.6.0.0","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_32-m01.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_32-m01en.pdf"
"ICs, Smart Cards and Smart Card-Related Devices and Systems","IDeal Citiz v2.3-n embedding ID.me 1.6-n application (ID.me 1.6-n / 2.1.6.0.0)","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4","08/21/2019","08/21/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_32fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_32en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","BELPIC V1.8 applet on MultiApp V4.1 Platform Révision 1.0","Gemalto &#x2f; Samsung","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1","08/07/2019","08/07/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_31fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_31en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller N7021 VA including IC Dedicated Software","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","DE","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","07/31/2019","07/31/2024","http://216.117.4.138:80/files/epfiles/0977V2a_pdf.pdf","http://216.117.4.138:80/files/epfiles/0977V2b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","S3NSEN4/S3NSEN3 32-bit RISC Microcontroller for Smart Card including specific IC Dedicated software (Revision 1)","Samsung Electronics Co., Ltd.","FR","EAL6+,ASE_TSS.2","SECURITY_IC_AUGP_V1.0","07/31/2019","07/31/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019-29fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-2019_29en.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","NXP Secure Smart Card Controller P60x080&#x2f;052&#x2f;040yVC&#x28;Y&#x2f;Z&#x2f;A&#x29;&#x2f;yVG","NXP Semiconductors Germany GmbH, Business Unit Security and Connectivity","NL","EAL6+,ALC_FLR.1,ASE_TSS.2","SECURITY_IC_V1.0","07/30/2019","02/21/2023","http://216.117.4.138:80/files/epfiles/[CR] NSCIB-CC-150453-CR2.pdf","http://216.117.4.138:80/files/epfiles/[ST-Lite] P60x080_052_040yVC-VG_v2_6.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","MTCOS Pro 2.5 EAC with PACE &#x2f; SLE78CLFX400VPHM&#x2f;BPHM&#x2f;7PHM &#x28;M7892&#x29;","MaskTech International GmbH","DE","EAL5+,ALC_DVS.2,AVA_VAN.5","MRTD_ICAO_EAC_V1.3","07/23/2019","07/23/2024","http://216.117.4.138:80/files/epfiles/1033a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1033b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","MTCOS Pro 2.5 EAC with PACE &#x2f; SLE78CLFX400VPHM&#x2f;BPHM&#x2f;7PHM &#x28;M7892&#x29; &#x28;BAC&#x29;","MaskTech International GmbH","DE","EAL4+,ALC_DVS.2","MRTD_ICAO_BA_V1.10","07/23/2019","07/23/2024","http://216.117.4.138:80/files/epfiles/1034a_pdf.pdf","http://216.117.4.138:80/files/epfiles/1034b_pdf.pdf","","","",""
"ICs, Smart Cards and Smart Card-Related Devices and Systems","Plateforme ID-One Cosmo v8.2 masquée sur le composant NXP P60D145 Identification du matériel 091121","Idemia","FR","EAL5+,ALC_DVS.2,AVA_VAN.5","ANSSI-CC-PP-2001-03-M01","07/19/2019","07/19/2024","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_28fr.pdf","http://216.117.4.138:80/files/epfiles/anssi-cible-cc-2019_28en.pdf","01/21/2020","ANSSI-CC-2019&#x2f;28-M01","http://216.117.4.138:80/files/epfiles/anssi-cc-2019_28-m01fr.pdf",""
